,Stock Code,Stock Name,Match
0,0001,CKH HOLDINGS,Ckh Holdings
1,0002,CLP HOLDINGS,CLP Group
2,0003,HK & CHINA GAS,The Hong Kong and China Gas Company
3,0004,WHARF HOLDINGS,The Wharf (Holdings)
4,0005,HSBC HOLDINGS,HSBC
5,0006,POWER ASSETS,Power Assets Holdings
6,0007,HK FINANCE INV,Hoifu Energy Group
7,0008,PCCW,PCCW
8,0009,NINE EXPRESS,Nine Express
9,0010,HANG LUNG GROUP,Hang Lung Group
10,0011,HANG SENG BANK,Hang Seng Bank
11,0012,HENDERSON LAND,Henderson Land Development
12,0014,HYSAN DEV,Hysan Development
13,0015,VANTAGE INT'L,History of Armenia
14,0016,SHK PPT,Sun Hung Kai Properties
15,0017,NEW WORLD DEV,New World Development
16,0018,ORIENTAL PRESS,Oriental Press Group Ltd.
17,0019,SWIRE PACIFIC A,Swire Pacific
18,0020,WHEELOCK,Wheelock Street Capital L.L.C.
19,0021,GREAT CHI PPT,Frankenstein
