Stock Code,Stock Name,Match
0001,CKH HOLDINGS,Ckh Holdings
0002,CLP HOLDINGS,CLP Group
0003,HK & CHINA GAS,The Hong Kong and China Gas Company
0004,WHARF HOLDINGS,The Wharf (Holdings)
0005,HSBC HOLDINGS,HSBC
0006,POWER ASSETS,Power Assets Holdings
0007,HK FINANCE INV,Hoifu Energy Group
0008,PCCW,PCCW
0009,NINE EXPRESS,Nine Express
0010,HANG LUNG GROUP,Hang Lung Group
0011,HANG SENG BANK,Hang Seng Bank
0012,HENDERSON LAND,Henderson Land Development
0014,HYSAN DEV,Hysan Development
0015,VANTAGE INT'L,History of Armenia
0016,SHK PPT,Sun Hung Kai Properties
0017,NEW WORLD DEV,New World Development
0018,ORIENTAL PRESS,Oriental Press Group Ltd.
0019,SWIRE PACIFIC A,Swire Pacific
0020,WHEELOCK,Wheelock Street Capital L.L.C.
0021,GREAT CHI PPT,Frankenstein
